Date,Close
2025-01-02,224.31947326660156
2025-01-03,225.31414794921875
2025-01-06,220.55958557128906
2025-01-07,219.45550537109375
2025-01-08,218.99794006347656
2025-01-10,217.0284881591797
2025-01-13,217.9336395263672
2025-01-14,217.3368377685547
2025-01-15,218.3712921142578
2025-01-16,221.50453186035156
2025-01-17,221.39511108398438
2025-01-21,223.8718719482422
2025-01-22,221.9023895263672
2025-01-23,224.45872497558594
2025-01-24,220.330810546875
2025-01-27,224.50845336914062
2025-01-28,219.52511596679688
2025-01-29,219.87326049804688
2025-01-30,222.8672332763672
2025-01-31,222.529052734375
2025-02-03,221.2260284423828
2025-02-04,222.35995483398438
2025-02-05,221.16635131835938
2025-02-06,208.7030487060547
2025-02-07,204.42593383789062
2025-02-10,207.40997314453125
2025-02-11,205.83837890625
2025-02-12,203.91864013671875
2025-02-13,204.17726135253906
2025-02-14,201.67068481445312
2025-02-18,206.93251037597656
2025-02-19,209.68777465820312
2025-02-20,210.2248992919922
2025-02-21,210.81175231933594
2025-02-24,208.79257202148438
2025-02-25,210.87142944335938
2025-02-26,210.2050018310547
2025-02-27,211.13999938964844
2025-02-28,212.88999938964844
2025-03-03,212.02000427246094
2025-03-04,208.0
2025-03-05,209.6199951171875
2025-03-06,211.25999450683594
2025-03-07,214.52000427246094
2025-03-10,213.82000732421875
2025-03-11,208.58999633789062
2025-03-12,206.35000610351562
2025-03-13,206.69000244140625
2025-03-14,209.47000122070312
2025-03-17,210.4199981689453
2025-03-18,209.74000549316406
2025-03-19,208.64999389648438
2025-03-20,210.88999938964844
2025-03-21,210.1199951171875
2025-03-24,211.85000610351562
2025-03-25,212.1199951171875
2025-03-26,213.1199951171875
2025-03-27,214.1699981689453
2025-03-28,210.33999633789062
2025-03-31,211.75
